annex2_code,field_name,canonical_field,priority,xsd_requirement,applicability,projected,delivered,has_field_rule,delivery_sample_value,xml_leaf_element,xml_first_record_value,population_mechanism,xsd_status
RREL64,Cumulative Prepayments,cumulative_prepayments,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/PrepmtDtls/PrepmtCmonData/CmltvAmt,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL65,Date Of Restructuring,date_of_restructuring,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/GnlAttrbts/RstrgDt,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL66,Date Last In Arrears,date_last_in_arrears,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/ArrearsDtls/DtLastInArrears,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL67,Arrears Balance,arrears_balance,Mandatory,no ND,in scope,True,True,False,0.0,,,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL68,Number Of Days In Arrears,number_of_days_in_arrears,Mandatory,no ND,in scope,True,True,False,0,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/ArrearsDtls/NbOfDaysInArrears,0,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL69,Account Status,account_status,Mandatory,no ND,in scope,True,True,True,PERF,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/GnlAttrbts/AcctSts,PERF,projector via registry mapping + rule enum transform,document XSD PASSED
RREL7,Pool Addition Date,pool_addition_date,Mandatory,; ND5 allowed,in scope,True,True,False,2024-09-30,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/ActvtyDtDtls/PoolAddtnDt,2024-09-30,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL70,Reason for Default or Foreclosure,reason_for_default_or_foreclosure,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/DfltDtls/CmonData/DfltOrFrclsrRsn,ND5,projector via registry mapping + rule enum transform; permitted no-data value in output,document XSD PASSED
RREL71,Default Amount,default_amount,Mandatory,; ND5 allowed,in scope,True,True,False,0.0,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/DfltDtls/CmonData/GrssDflt,0.0,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL72,Default Date,default_date,Mandatory,; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/DfltDtls/CmonData/DtOfDflt,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL73,Allocated Losses,allocated_losses,Mandatory,; ND5 allowed,in scope,True,True,False,0.0,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/DfltDtls/RcvrsData/AllctdLoss,0.0,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL74,Cumulative Recoveries,cumulative_recoveries,Mandatory,; ND5 allowed,in scope,True,True,False,0.0,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/DfltDtls/RcvrsData/CmltvRcvrs,0.0,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL75,Litigation,litigation,Mandatory,; ND5 allowed,in scope,True,True,True,False,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/DfltDtls/Ltgtn,false,projector via registry mapping + rule (validation/format),document XSD PASSED
RREL76,Recourse,recourse,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/RskDtls/Rcrs,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL77,Deposit Amount,deposit_amount,Mandatory,; ND5 allowed,in scope,True,True,False,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/RskDtls/Dpst,ND5,projector via registry regime_mapping (no direct rule); permitted no-data value in output,document XSD PASSED
